REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
G-VIPX,CAPITAL AIR CHARTER LTD,PA31,NAVAJO,,VC,AD,,,EGL,,,GVIPX,,,
G-VMCG,PURE AVIATION SUPPORT SERVICES,PA38,TOMAHAWK,,VC,P,,,,,,GVMCG,,,
G-VNAV,FLIGHT CALIBRATION SERVICES LTD,DA62,,,VC,L,,,,,,GVNAV,,,
G-WAPA,DEREK WATSON,R44,RAVEN 2,,VCH,P,,,,,,GWAPA,,EMERGENCY BALLISTIC DEVICE,
G-WASC,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,GWASC,,,
G-WASS,BABCOCK MISSION CRITICAL SERVICES,EC35,,,VCH,L,,,RHD,,,GWASS,,,
G-WAZE,SLOANE HELICOPTERS LTD,A109,,,VCH,AD,,,SLN,,,SLN,,,
G-WCAO,NATIONAL POLICE AIR SERVICE,EC35,,,VCH,L,,,UKP,,,UKP,,,
G-WCCP,2 EXCEL AVIATION LTD,BE20,KING AIR 200,,VC,AD,,,BRO,,,GWCCP,,,
G-WDKR,GB HELICOPTERS,AS55,TWIN SQUIRREL,,VCH,L,,,KNM,,,GWDKR,,,
G-WENU,BABCOCK MISSION CRITICAL SERVICES,EC45,,,VCH,L,,,RHD,,,GWENU,,,
G-WLTS,SPECIALIST AVIATION SERVICES,B429,GLOBALRANGER,,VCH,L,,,HLE,,,HLE22,,,
G-WNAS,WARWICKSHIRE & NORTHAMPTONSHIRE AIR AMBULANCE,A109,,,VCH,L,,,HLE,,,HLE53,,,
G-WNDD,CK AVIATION SERVICES,PTS1,PITTS SPECIAL,,VC,P,,,,,,GWNDD,,,
G-WNSD,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSD,,,
G-WNSE,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSE,,,
G-WNSF,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSF,,,
G-WNSG,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSG,,,
G-WNSL,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSL,,,
G-WNSM,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSM,,,
G-WNST,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNST,,,
G-WNSU,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSU,,,
G-WNSV,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSV,,,
G-WNSW,CHC SCOTIA LTD,S92,CYCLONE,,VCH,L,,,HKS,,,GWNSW,,,
G-WOBR,BABCOCK MISSION CRITICAL SERVICES,EC45,,,VCH,L,,,RHD,,,GWOBR,,,
G-WPAS,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,UKP,,,GWPAS,,,
G-WROL,BABCOCK MISSION CRITICAL SERVICES,EC45,,,VCH,L,,,RHD,,,GWROL,,,
G-WSTO,GB HELICOPTERS,AS55,SQUIRREL,,VCH,AD,,,KNM,,,KNM,,,
G-WVIP,CAPITAL AIR AMBULANCE,BE20,KING AIR 200,,VC,AD,,,EGL,,,GWVIP,,,
G-XBOX,CASTLE AIR LTD,B06,JETRANGER,,VCH,AD,,,CST,,,GXBOX,,,
G-XVIP,CAPITAL AIR AMBULANCE,BE20,KING AIR 200,,VC,AD,,,EGL,,,GXVIP,,,
G-XXED,ROYAL AIR FORCE,S76,,,VMH,X,,,TQF,,,GXXED,,,
G-YAAC,YORKSHIRE AIR AMBULANCE,EC45,,,VCH,L,,,HLE,,,GYAAC,,,
G-YNWA,VINEN,DA50,,,VC,P,,,,,,GYNWA,,,
G-YOAA,YORKSHIRE AIR AMBULANCE,EC45,,,VCH,L,,,HLE,,,GYOAA,,,
G-YPOL,SPECIALIST AVIATION SERVICES,EXPL,EXPLORER,,VCH,L,,,UKP,,,GYPOL,,,
G-YVIP,CAPITAL AIR AMBULANCE LTD,BE20,KING AIR 200,,VC,AD,,,EGL,,,GYVIP,,,
GZ100,ROYAL AIR FORCE,A109,,,VCH,X,,,TQF,,,,,,
G-ZACK,ATLANTIC TRAVEL,SR20,,,VC,P,,,,,,GZACK,,EMERGENCY BALLISTIC DEVICE,
G-ZEXL,2 EXCEL AVIATION LTD,E300,,,VC,AD,,,BRO,,,GZEXL,,,
G-ZGZG,JEREMY NOBLE,C182,SKYLANE,,VC,P,,,,,,GZGZG,,,
G-ZINC,MARC MEARS,C182,SKYLANE,,VC,P,,,,,,GZINC,,,
G-ZIPE,HELICOPTER SERVICES,A109,,,VCH,AD,,,TOA,,,GZIPE,,,
G-ZVIP,CAPITAL AIR AMBULANCE,BE20,KING AIR 200,,VC,AD,,,EGL,,,GZVIP,,,
G-ZXCL,2 EXCEL AVIATION LTD,E300,,,VC,AD,,,BRO,,,GZXCL,,,
G-ZXEL,2 EXCEL AVIATION LTD,E300,,,VC,AD,,,BRO,,,GZXEL,,,
G-ZXLL,2 EXCEL AVIATION LTD,E300,,,VC,AD,,,BRO,,,GZXLL,,,
LN-DHY,FLYVÅPNETS HISTORISKE SKVADRON,VAMP,VAMPIRE,,VC,P,,,,,,VAMPIRE,,,
LN-DHZ,FLYVÅPNETS HISTORISKE SKVADRON,VAMP,VAMPIRE,,VC,P,,,,,,VAMPIRE,,,
LN-DPS,FLYVÅPNETS HISTORISKE SKVADRON,T33,SILVER STAR,,VC,P,,,,,,SAK,,,
M-CDMS,BAE SYSTEMS (MARINE),BE20,SUPER KING AIR 200,,VC,AD,,,VSB,,,MCDMS,,,
M-DOGA,GUL LTD,EC35,,,VCH,P,,,,,,MDOGA,,,
MK356,ROYAL AIR FORCE,SPIT,SPITFIRE,,VM,M,,,,,,SPIT90,,,
M-LENR,BAE SYSTEMS (MARINE),BE20,SUPER KING AIR 200,,VC,AD,,,VSB,,,MLENR,,,
M-ONTY,TRUSTAIR,S76,,,VCH,P,,,,,,MONTY,,,
N124PD,HIGHFIELD AVIATION,H500,HUGHES 500,,VCH,P,,,,,,N124PD,,,
N208AJ,BLACK KNIGHTS PARACHUTE CENTRE,C208,GRAND CARAVAN,,VC,AD,,,,,,N208AJ,,,
N208AX,BLACK KNIGHTS PARACHUTE CENTRE,C208,GRAND CARAVAN,,VC,AD,,,,,,N208AX,,,
N2PD,HIGHFIELD AVIATION,TBM7,SOCATA,,VC,P,,,,,,N2PD,,,
N344M,DWAYNE AXFORD,MITE,,,VC,P,,,,,,N344M,,,
N3544M,PVT,PA31,NAVAJO,,VC,P,,,,,,N3544M,,,
N459PA,SCHRIEBER,PA34,SENECA,,VC,P,,,,,,N459PA,,,
N53SB,WYNNE,C172,,,VC,P,,,,,,N53SB,,,
N600MW,2WINGS AIRCRAFT,MD50,,,VCH,P,,,,,,N600MW,,,
N616CM,PVT,TBM8,,,VC,P,,,,,,N616CM,,,
N747PL,PVT,SR22,,,VC,P,,,,,,N747PL,,EMERGENCY BALLISTIC DEVICE,
N750AY,SKYDIVE NORTHWEST,P750,PAC 750,,VC,P,,,,,,N750AY,,,
N899JH,N899JH,C182,,,VC,P,,,,,,N899JH,,,
PM631,ROYAL AIR FORCE,SPIT,SPITFIRE,,VM,M,,,,,,PM631,,,
PS915,ROYAL AIR FORCE,SPIT,SPITFIRE,,VM,M,,,,,,PS915,,,
PZ865,ROYAL AIR FORCE,HURI,HURRICANE,,VM,M,,,,,,PZ865,,,
QQ100,EMPIRE TEST PILOT SCHOOL,A109,,,VCH,M,,,ETP,,,,,,
QQ101,EMPIRE TEST PILOT SCHOOL,RJ1H,AVROLINER,,VM,M,,,ETP,,,,,,
QQ103,EMPIRE TEST PILOT SCHOOL,DA42,TWIN STAR,,VM,M,,,ETP,,,,,,
WG486,ROYAL AIR FORCE,DHC1,CHIPMUNK,,VM,M,,,,,,WG486,,,
WK518,ROYAL AIR FORCE,DHC1,CHIPMUNK,,VM,M,,,,,,WK518,,,
XV666,HELIOPERATIONS,S61,SEA KING,,VCH,B1,,,HELIOP,,,HELIOP,,,
XW204,ROYAL AIR FORCE,PUMA,PUMA,,VMH,M,,,SHF,,GOVERNMENT CHARTER,,,,
XW219,ROYAL AIR FORCE,PUMA,PUMA,,VMH,M,,,SHF,,,,,,
XW220,ROYAL AIR FORCE,PUMA,PUMA,,VMH,M,,,SHF,,GOVERNMENT CHARTER,,,,
